1	脱出ゲーム 不動産屋の間取り~無料で人気な簡単アプリ~	"脱出ゲームの新定番アプリです!!!
まさに、「こんな脱出ゲーム、あっていいの?!」と
思わず感じてしまう脱出ゲームです。
==========やらないと損でーす==========

◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆ 
閲覧して頂き誠にありがとうございます。 
◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆ 

初心の方も上級の方も楽しんで頂ける脱出ゲームです。
また、アプリ開発者にもとっておきなゲームです。
本当にやらなきゃ損です!!!

遊び方は至ってシンプルで簡単です。
気になるところをタップ等しながらどんどん玄関を
開けていくゲームです。
目的は、、、やってみてからのお楽しみです。
ステージクリアを繰り返せばバッチリです。

では、インストールお待ち致しております。 

※画面では広告が入ります。その点、ご了承 
下さいませ。 
◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆ 
貴殿のダウンロードお待ちしております。 
◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆"
2	実写版脱出ゲーム[1Kからの脱出]	"■■■■■■■■■■　最新作案内！！　■■■■■■■■■■
最新作　脱出ゲーム第２弾！『文字部屋脱出』　~文字が鍵を握る無料謎解き~
も配信中！
関連からDL出来ます！




脱出せよ・・・！！

目がさめると部屋にいた。
何もない、家具も何もない部屋・・・。
玄関のドアには厳重に施錠された上に溶接されたロック・・・。
そして郵便受には意味深なメッセージ・・・。

とにかく、とにかくここから逃げ出さなければ・・・！


実際のワンルームで撮影された実写版脱出ゲーム！
あなたは脱出出来るか？！

■■■■■■■■■■　重要なお知らせ　■■■■■■■■■■
この作品は制作者が２０年住んでいたマンションを実写撮影で制作しております。
２０年という月日の経年劣化後が実写にございますのでご了承ください。"
3	脱出？潜入？湯けむり温泉旅館～人気の謎解き無料脱出ゲーム～	"▼初心者から上級者まで楽しめる新作脱出ゲーム！▼
温泉旅館に潜入！お茶目な脱出ゲームが登場！！
美人OLのいる部屋に！？女子大生の部屋に！？
イケメンの部屋に！？色々潜入して謎を解こう！！

▼脱出？潜入？温泉旅館の特徴▼
・スマホを振ったり傾けたり色々な謎の種類！
・毎ステージクリア後にご褒美画像が！！
・脱出ゲーム好きでも満足する
・ステージを跨る難易度が高い謎も！？
・思わず笑ってしまう犬の可愛い行動！

▼こんな方にオススメ▼
・普通の脱出ゲームじゃ物足りない！
・脱出ゲームが好き
・謎解きゲームが好き
・温泉旅館に惹かれる

▼脱出のヒント機能も充実！▼
脱出や潜入方法がわからなくなったら
SNS投稿や動画を見ればすぐにヒントが貰えるぞ！
脱出のヒントを有効活用出来るので
脱出ゲーム初心者でも安心して遊べるぞ！！

▼脱出？潜入？温泉旅館のストーリー▼
温泉街に迷い込んだ一匹の『野良わんこ』。
湯煙にのって流れてきた高級和牛のにおいに釣られて
温泉旅館に潜入しました！
果たして、わんこは空腹を満たすことができるのか？
扉の先にはどんなドラマが待っているのか！？

潜入に成功すると、
温泉旅館でのご褒美のワンシーンが見られます！


※iPad および iPod touchには対応しておりません
-----------------------------------------
■渋三あっぷす■
渋三あっぷすはトランスコスモス株式会社が
提供するアプリサービスです
今後も沢山のアプリをお届けする予定です
------------------------------------------"
4	脱出ゲーム テストの多い学習塾から脱出	"●ストーリー：塾長が上級生向けに
新しいテストを作ったので、
試しに解いてみてほしいとのこと。
暇つぶしに付き合ってみるとするか！


●難易度：Easy～Normal
ちょっとだけIQが試される脱出ゲームかも？
怪しいところを調べて密室から脱出してください。
　※今作はエンディングが二種類あります。


●操作説明：操作はタップだけです。
            ・タップ：調べる・アイテムを選ぶ
　　　　　　　　      拡大アイテムにアイテムを使用する
   ・ダブルタップ：アイテムを拡大する
  ・移動アイコン：視点を移動する・拡大画面から戻る
                    ※三角アイコンをタップして実行します
             ・設定：ゲームデータのセーブをしたり、
                       BGMやSEの調整をすることが可能です。
                    ※ギアアイコンをタップして実行します。
                    ※オートセーブ機能はありません。"
5	脱出ゲーム　DOOORS	"このゲームの目的は閉じ込められた部屋から脱出すること。
部屋に隠された謎を解き明かし、次々とドアを開けて部屋から脱出しましょう。
部屋の数は、全部で80ステージ。
時にはiPhoneを傾けたり、シェイクしたり、直感的な閃きが必要な場合も。
知恵と閃きで各ステージを攻略しよう!

●ゲームの特徴
・ちょっとした時間に遊べるステージ制のミニ脱出ゲーム集
・好きなステージを選べるステージ選択機能
・自動セーブ機能"
6	脱出ゲーム　CountryRoom	"※一部端末では、正常に起動しない場合がございます。あらかじめご了承ください。
※初期起動の場合のみゲームデータ読み込みによりローディング時間が発生します。通信環境の良い場所で行ってください。

あなたは故郷へ帰省中です。
様々なアイテムや仕掛けの謎を解き、部屋を開放していき抜け出しましょう。

▼特徴
・キレイな３DCGグラフィック
・謎を解き次のステージへ進んでいく、ステージ型脱出ゲーム
・ヒントと答えがあるので初心者でもつまづくことなくクリアできる
・全ステージ無料でプレイ可能

▼遊び方
・タップで調べる
・アイテムボックスをダブルタップでアイテムを拡大
・拡大されたアイテムはタップで更に調べることが可能
・アイテムアップから他のアイテムを組み合わせる
・メニューの中のヒントボタンからヒントと答えを見る"
7	脱出ゲーム　超能力脱出	"超能力を信じない学者が君を閉じ込めてしまった！
能力を駆使して脱出し、能力が本物だと証明しよう！



【脱出ゲーム　『超能力者脱出　ＥＳＰ’s　ｅｓｃａｐｅ』の特徴】
●超能力者となり能力と頭脳を駆使して謎を解く脱出ゲーム。
●あなたは超能力者です！
●学者が君の超能力を試すべく仕掛けをたくさん仕掛けています。
●一つの謎を解くと次の謎へと進むステージ型です。
●能力を証明するためには脱出すること。それから隠されたカードを全て集める必要が
あります。
●全ステージ無料で遊べます。
●ステージが進むと部屋も少しずつ変わっていき、謎の難易度も上がっていきます。
●行き詰まった時は超能力を使い、謎を解く糸口を掴もう。どうしても分からない時には
超能力で全て解き明かすこともできるので、初心者の方でも大丈夫！


▼遊び方▼
●タップで調べます。
●アイテムボックスのアイテムをダブルタップでアイテムを拡大できます。
●画面上にあるメニューボタンを選択してホームに戻ったり続きから始めたりできます。
●超能力を使用するにはPSIゲージを消費します。PSIゲージはステージで手に入る
回復アイテムで回復することができます。
●超能力には三種類あり、透視、念動力、エレキネシスを駆使する必要があります。
時には慎重に、時には積極的に色んな能力を試してみましょう。




【攻略のポイント】
●画面の至る所をくまなくタップしてみましょう。
●同じ場所でも状況によって新しい発見があるかもしれません。
●アイテムもくまなく観察しましょう。時には組み合わせたりすることも。
●能力の使いどころを見極めよう。



【おすすめポイント】
●超能力、サイキック、ESPと聞いてわくわくする方にもおすすめ。
●もちろん脱出ゲームが好きな方、ヒントもあるので初心者の方にもおすすめです。




【あそびごころ。の特徴】
１ステージのボリュームにこだわり、ちょっと《遊び心》を取り入れました。


※※※※※※※※※※※※※※※※
アプリゲット様にレビューを頂きました！
http://appget.com/appli/view/67978
※※※※※※※※※※※※※※※※"
8	脱出ゲーム-ディグマン オススメ暇つぶし脱出ゲーム	"あるのは古びたスコップのみ。
囲まれた壁の中からの脱出を目指そう。
暇つぶしに最適なゲームです。

[プレイ方法]
-タップした箇所にディグマンが移動、土を掘ります。
-地中からはアイテムが取得できます。スコップの強化に使用したり、物語を紐解くヒントが出現します。
-ひたすら掘って出口を探しましょう。

音楽:魔王魂 様
コーディング：アプリ開発マン"
9	脱出ゲーム 古城からの脱出	"～Ｓｔｏｒｙ～
「私」は何者かに襲われ、地下の牢獄で目を覚ます。
―そして次々と明らかになる秘密―
隠された陰謀を暴き、真の結末を目指せ！

～難易度～
Ｅａｓｙ～Ｎｏｒｍａｌ
脱出ゲーム初心者でも手軽に楽しめるように、ヒント機能を搭載しています！
中級者・上級者の人はノーヒントで挑戦してみて下さいね。
あなたは、数々の謎を解き明かし【ＴＲＵＥ　ＥＮＤ】を目にする事ができるのか！？

～操作説明～
怪しいと思うところを「タップ」してみましょう。
アイテムをタップすると拡大できますよ。
アイテム同士を組み合わせたり、分解したり・・・色々な方法を試してみて下さいね。"
10	脱出ゲーム　GAROU	"あなたはなぜかアートギャラリーに閉じ込められています。
画面をタップして隠された謎を解き明かし、アートギャラリーから脱出しましょう。

●ゲームの特徴
・タップのみのシンプルな操作
・自動セーブ機能"
